My Artists CSV

name,mbid,url,image_small,image
"Cherish","e82500a8-70ce-46ad-a028-b0690420d560","https://www.last.fm/music/Cherish","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Cheriimoya","","https://www.last.fm/music/Cheriimoya","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Cheryl Lynn","c2b8f775-455c-44c3-97ca-f377938da19e","https://www.last.fm/music/Cheryl+Lynn","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Wild Cherry","da5ff827-174b-48d1-9a39-9fa290bb2925","https://www.last.fm/music/Wild+Cherry","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Acid Black Cherry","a3842d12-306c-498a-ae1d-03ee40e3f2ac","https://www.last.fm/music/Acid+Black+Cherry","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Nasty Cherry","","https://www.last.fm/music/Nasty+Cherry","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Cherry Poppin' Daddies","e23612fb-6dd6-4d5c-b638-2611bfc8c48a","https://www.last.fm/music/Cherry+Poppin%27+Daddies","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Sonny & Cher","c43d2302-02db-487b-b62d-8cb3c57f94c6","https://www.last.fm/music/Sonny+&+Cher","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Blue Cheer","523b52d7-a819-4111-9085-69fc269c9638","https://www.last.fm/music/Blue+Cheer","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Cherry Ghost","1e76c9f2-2f79-4521-a418-a3c22eda30fa","https://www.last.fm/music/Cherry+Ghost","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"cheRomani+","","https://www.last.fm/music/cheRomani%252B","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"CHERNIKOVSKAYA HATA","","https://www.last.fm/music/CHERNIKOVSKAYA+HATA","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"cehryl","","https://www.last.fm/music/cehryl","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"800 Cherries","4012a50b-a64f-450f-a418-fd473e6ccea4","https://www.last.fm/music/800+Cherries","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Don Cherry","d45e4d9d-45c1-45cb-941a-8a5025874e06","https://www.last.fm/music/Don+Cherry","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Cherokee","ea71fddc-7e41-470f-8e13-6cd50ae981da","https://www.last.fm/music/Cherokee","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Paul Cherry","","https://www.last.fm/music/Paul+Cherry","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Cherrie","","https://www.last.fm/music/Cherrie","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Cherubs","6106ec43-8658-4fc3-b8a6-5379831a6cfa","https://www.last.fm/music/Cherubs","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Cherrelle","2a0b3bf9-0d04-4e49-91f5-9530cbebab55","https://www.last.fm/music/Cherrelle","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
